指数,年月,地域,カテゴリ,数値,単位
指数,1973年7月,全国,0001 総合,38.6,
指数,1973年7月,全国,0002 食料,35.4,
指数,1973年7月,全国,0003 穀類,38.5,
指数,1973年7月,全国,0004 米類,46.8,
指数,1973年7月,全国,0005 パン,32.5,
指数,1973年7月,全国,1021 食パン,34.2,
指数,1973年7月,全国,1022 あんパン,30.1,
指数,1973年7月,全国,0006 麺類,29.5,
指数,1973年7月,全国,1041 そうめん,23.2,
指数,1973年7月,全国,1051 カップ麺,32.4,
指数,1973年7月,全国,0007 他の穀類,41.1,
指数,1973年7月,全国,1071 小麦粉,33.1,
指数,1973年7月,全国,0008 魚介類,27.6,
指数,1973年7月,全国,0009 生鮮魚介,29.6,
指数,1973年7月,全国,1101 まぐろ,38.6,
指数,1973年7月,全国,1102 あじ,41.9,
指数,1973年7月,全国,1103 いわし,25.7,
指数,1973年7月,全国,1104 かつお,32.3,
指数,1973年7月,全国,1106 さけ,38.4,
指数,1973年7月,全国,1107 さば,18.7,
指数,1973年7月,全国,1108 さんま,29.2,
指数,1973年7月,全国,1110 たい,49.4,
指数,1973年7月,全国,1111 ぶり,43,
指数,1973年7月,全国,1112 いか,17.5,
指数,1973年7月,全国,1113 たこ,23.2,
指数,1973年7月,全国,1131 あさり,11,
指数,1973年7月,全国,0010 塩干魚介,27.3,
指数,1973年7月,全国,1141 塩さけ,38.1,
指数,1973年7月,全国,1142 たらこ,25.3,
指数,1973年7月,全国,1143 しらす干し,17.6,
指数,1973年7月,全国,1146 煮干し,25.2,
指数,1973年7月,全国,0011 魚肉練製品,24.1,
指数,1973年7月,全国,1151 揚げかまぼこ,18.8,
指数,1973年7月,全国,1152 ちくわ,24,
指数,1973年7月,全国,1153 かまぼこ,28.5,
指数,1973年7月,全国,0012 他の魚介加工品,24.6,
指数,1973年7月,全国,1161 かつお節,39.1,
指数,1973年7月,全国,0013 肉類,45.2,
指数,1973年7月,全国,0014 生鮮肉,43.2,
指数,1973年7月,全国,1201 牛肉（国産品）,29.9,
指数,1973年7月,全国,1211 豚肉（国産品）,45.2,
指数,1973年7月,全国,1221 鶏肉,55.1,
指数,1973年7月,全国,0015 加工肉,55.2,
指数,1973年7月,全国,1261 ソーセージ,50.8,
指数,1973年7月,全国,0016 乳卵類,53.2,
指数,1973年7月,全国,0017 牛乳・乳製品,50,
指数,1973年7月,全国,0018 牛乳,51.2,
指数,1973年7月,全国,0019 乳製品,45.9,
指数,1973年7月,全国,1311 粉ミルク,27.6,
指数,1973年7月,全国,1321 バター,39.2,
指数,1973年7月,全国,1331 チーズ（国産品）,43.1,
指数,1973年7月,全国,0020 卵,59.9,
指数,1973年7月,全国,1341 鶏卵,59.9,
指数,1973年7月,全国,0021 野菜・海藻,28.2,
指数,1973年7月,全国,0022 生鮮野菜,26.3,
指数,1973年7月,全国,1401 キャベツ,36.6,
指数,1973年7月,全国,1402 ほうれんそう,30.2,
指数,1973年7月,全国,1403 はくさい,38.6,
指数,1973年7月,全国,1405 ねぎ,28.8,
指数,1973年7月,全国,1406 レタス,49.2,
指数,1973年7月,全国,1411 さつまいも,37.2,
指数,1973年7月,全国,1412 じゃがいも,25.3,
指数,1973年7月,全国,1413 さといも,46.5,
指数,1973年7月,全国,1414 だいこん,49.3,
指数,1973年7月,全国,1415 にんじん,56.9,
指数,1973年7月,全国,1416 ごぼう,28.7,
指数,1973年7月,全国,1417 たまねぎ,35.6,
指数,1973年7月,全国,1419 れんこん,57.7,
指数,1973年7月,全国,1433 かぼちゃ,22.7,
指数,1973年7月,全国,1434 きゅうり,20.6,
指数,1973年7月,全国,1435 なす,20,
指数,1973年7月,全国,1436 トマト,19.1,
指数,1973年7月,全国,1437 ピーマン,16.9,
指数,1973年7月,全国,0023 乾物・加工品類,31.4,
指数,1973年7月,全国,0024 乾物・海藻,30.3,
指数,1973年7月,全国,1453 干ししいたけ,28.4,
指数,1973年7月,全国,1461 干しのり,53.1,
指数,1973年7月,全国,1462 わかめ,24.5,
指数,1973年7月,全国,1463 こんぶ,17.9,
指数,1973年7月,全国,0025 大豆加工品,44.4,
指数,1973年7月,全国,1471 豆腐,43.3,
指数,1973年7月,全国,1472 油揚げ,41.2,
指数,1973年7月,全国,1473 納豆,53.6,
指数,1973年7月,全国,0026 他の野菜・海藻加工品,24.2,
指数,1973年7月,全国,1481 こんにゃく,37.6,
指数,1973年7月,全国,1482 梅干し,18.3,
指数,1973年7月,全国,1483 だいこん漬,23.3,
指数,1973年7月,全国,1485 こんぶつくだ煮,19.1,
指数,1973年7月,全国,0027 果物,31.5,
指数,1973年7月,全国,0028 生鮮果物,30.8,
指数,1973年7月,全国,1502 りんご,45.1,
指数,1973年7月,全国,1531 ぶどうＡ,57,
指数,1973年7月,全国,1532 ぶどうＢ,68.2,
指数,1973年7月,全国,1551 桃,20.3,
指数,1973年7月,全国,1561 すいか,26.2,
指数,1973年7月,全国,1581 バナナ,43.5,
指数,1973年7月,全国,0029 果物加工品,50.6,
指数,1973年7月,全国,0030 油脂・調味料,56.2,
指数,1973年7月,全国,0031 油脂,74.9,
指数,1973年7月,全国,1601 食用油,82.8,
指数,1973年7月,全国,1602 マーガリン,52.4,
指数,1973年7月,全国,0032 調味料,53.4,
指数,1973年7月,全国,1611 食塩,25.7,
指数,1973年7月,全国,1621 しょう油,55.4,
指数,1973年7月,全国,1631 みそ,57.6,
指数,1973年7月,全国,1632 砂糖,68,
指数,1973年7月,全国,1633 酢,58.2,
指数,1973年7月,全国,1641 ソース,62.1,
指数,1973年7月,全国,1642 ケチャップ,70.1,
指数,1973年7月,全国,1643 マヨネーズ,62,
指数,1973年7月,全国,1652 カレールウ,38.7,
指数,1973年7月,全国,1653 乾燥スープ,38.6,
指数,1973年7月,全国,0033 菓子類,32.5,
指数,1973年7月,全国,1701 ようかん,22.5,
指数,1973年7月,全国,1711 カステラ,33.4,
指数,1973年7月,全国,1713 シュークリーム,42.1,
指数,1973年7月,全国,1741 せんべい,43,
指数,1973年7月,全国,1721 ビスケット,29.8,
指数,1973年7月,全国,1732 キャンデー,31.7,
指数,1973年7月,全国,1761 チョコレート,52.7,
指数,1973年7月,全国,1782 アイスクリーム,41.9,
指数,1973年7月,全国,1772 落花生,48,
指数,1973年7月,全国,1781 チューインガム,37,
指数,1973年7月,全国,0034 調理食品,33.2,
指数,1973年7月,全国,0036 他の調理食品,32.6,
指数,1973年7月,全国,1801 うなぎかば焼き,32.2,
指数,1973年7月,全国,1811 サラダ,22.3,
指数,1973年7月,全国,1821 コロッケ,28.1,
指数,1973年7月,全国,0037 飲料,56.6,
指数,1973年7月,全国,0038 茶類,49.5,
指数,1973年7月,全国,1902 緑茶,36.2,
指数,1973年7月,全国,1911 紅茶,65.8,
指数,1973年7月,全国,0039 コーヒー・ココア,53.3,
指数,1973年7月,全国,1921 インスタントコーヒー,50,
指数,1973年7月,全国,0040 他の飲料,60.2,
指数,1973年7月,全国,1931 果汁入り飲料,75.4,
指数,1973年7月,全国,1951 炭酸飲料,72.3,
指数,1973年7月,全国,0041 酒類,48.7,
指数,1973年7月,全国,2003 清酒,55.1,
指数,1973年7月,全国,2011 焼酎,35.1,
指数,1973年7月,全国,2021 ビール,44.2,
指数,1973年7月,全国,2033 ウイスキー,66.8,
指数,1973年7月,全国,0042 外食,30.9,
指数,1973年7月,全国,0043 一般外食,30.7,
指数,1973年7月,全国,2101 うどん（外食）,20.8,
指数,1973年7月,全国,2102 中華そば（外食）,23.7,
指数,1973年7月,全国,2121 すし（外食）Ｂ,28.2,
指数,1973年7月,全国,2133 カレーライス（外食）,27.8,
指数,1973年7月,全国,2162 コーヒー（外食）Ａ,31.6,
指数,1973年7月,全国,2171 ビール（外食）,32.8,
指数,1973年7月,全国,0045 住居,35.4,
指数,1973年7月,全国,0046 家賃,38,
指数,1973年7月,全国,0047 民営家賃,42.3,
指数,1973年7月,全国,3000 民営家賃,42.3,
指数,1973年7月,全国,0048 公営・都市再生機構・公社家賃,25.3,
指数,1973年7月,全国,3016 公営家賃,26.6,
指数,1973年7月,全国,3017 都市再生機構・公社家賃,23.7,
指数,1973年7月,全国,0050 持家の帰属家賃,37.7,
指数,1973年7月,全国,3030 持家の帰属家賃,37.7,
指数,1973年7月,全国,0051 設備修繕・維持,26,
指数,1973年7月,全国,0052 設備材料,45.4,
指数,1973年7月,全国,3121 修繕材料,25.1,
指数,1973年7月,全国,0053 工事その他のサービス,22.6,
指数,1973年7月,全国,3151 畳替え代,23.8,
指数,1973年7月,全国,3176 水道工事費,10.2,
指数,1973年7月,全国,3175 塀工事費,20.1,
指数,1973年7月,全国,3171 ふすま張替費,22.3,
指数,1973年7月,全国,3172 大工手間代,23,
指数,1973年7月,全国,3180 火災・地震保険料,41.6,
指数,1973年7月,全国,0054 光熱・水道,33.2,
指数,1973年7月,全国,0056 電気代,54.4,
指数,1973年7月,全国,3500 電気代,54.4,
指数,1973年7月,全国,0057 ガス代,30,
指数,1973年7月,全国,3600 都市ガス代,36.1,
指数,1973年7月,全国,3612 プロパンガス,23.4,
指数,1973年7月,全国,0058 他の光熱,21.8,
指数,1973年7月,全国,3701 灯油,21.8,
指数,1973年7月,全国,3810 水道料,21.4,
指数,1973年7月,全国,0060 家具・家事用品,83.4,
指数,1973年7月,全国,0061 家庭用耐久財,227.3,
指数,1973年7月,全国,0062 家事用耐久財,580.8,
指数,1973年7月,全国,4002 電気炊飯器,230,
指数,1973年7月,全国,4011 ガステーブル,108.4,
指数,1973年7月,全国,4021 電気冷蔵庫,2049.2,
指数,1973年7月,全国,4032 電気掃除機,554.4,
指数,1973年7月,全国,0063 冷暖房用器具,204.5,
指数,1973年7月,全国,0064 一般家具,44.4,
指数,1973年7月,全国,0066 室内装備品,85.9,
指数,1973年7月,全国,4121 カーペット,119,
指数,1973年7月,全国,4141 カーテン,49.2,
指数,1973年7月,全国,0070 寝具類,72.8,
指数,1973年7月,全国,4211 布団,93.5,
指数,1973年7月,全国,4251 敷布,52.7,
指数,1973年7月,全国,0073 家事雑貨,35.5,
指数,1973年7月,全国,0074 食器類,25.1,
指数,1973年7月,全国,4301 茶わん,21.5,
指数,1973年7月,全国,4302 皿,27.3,
指数,1973年7月,全国,0075 台所用品,36.8,
指数,1973年7月,全国,4331 鍋,32.2,
指数,1973年7月,全国,4342 スポンジたわし,29.3,
指数,1973年7月,全国,0076 他の家事雑貨,45.7,
指数,1973年7月,全国,4352 電球・ランプ,64.5,
指数,1973年7月,全国,4361 タオル,45.4,
指数,1973年7月,全国,0077 家事用消耗品,73.1,
指数,1973年7月,全国,0078 ティシュ・トイレットペーパー,63.8,
指数,1973年7月,全国,0079 洗剤,98.1,
指数,1973年7月,全国,4431 台所用洗剤,99.4,
指数,1973年7月,全国,4441 洗濯用洗剤,103.3,
指数,1973年7月,全国,0080 他の家事用消耗品,60.1,
指数,1973年7月,全国,4451 殺虫剤,61.7,
指数,1973年7月,全国,0081 家事サービス,23.6,
指数,1973年7月,全国,0174 家事代行料,24,
指数,1973年7月,全国,4501 家事代行料,24,
指数,1973年7月,全国,0175 清掃代,22.1,
指数,1973年7月,全国,0082 被服及び履物,39.9,
指数,1973年7月,全国,0083 衣料,40,
指数,1973年7月,全国,0084 和服,37.5,
指数,1973年7月,全国,5011 婦人用着物,37.3,
指数,1973年7月,全国,5041 婦人用帯,29.5,
指数,1973年7月,全国,0085 洋服,41.2,
指数,1973年7月,全国,0086 男子用洋服,40.5,
指数,1973年7月,全国,5101 背広服（春夏物，中級品）,40.6,
指数,1973年7月,全国,5122 男子用ズボン（春夏物）,37.1,
指数,1973年7月,全国,5141 男子用学校制服,29.5,
指数,1973年7月,全国,0087 婦人用洋服,34.8,
指数,1973年7月,全国,5161 ワンピース（春夏物）,25.5,
指数,1973年7月,全国,0088 子供用洋服,93.7,
指数,1973年7月,全国,0089 シャツ・セーター・下着類,38.7,
指数,1973年7月,全国,0090 シャツ・セーター類,37.1,
指数,1973年7月,全国,0091 男子用シャツ・セーター類,40.9,
指数,1973年7月,全国,5202 ワイシャツ,51.4,
指数,1973年7月,全国,0092 婦人用シャツ・セーター類,33.2,
指数,1973年7月,全国,5242 婦人用セーター（半袖）,44.2,
指数,1973年7月,全国,0094 下着類,38.7,
指数,1973年7月,全国,0095 男子用下着類,49.7,
指数,1973年7月,全国,5301 男子用シャツ（半袖）,48.4,
指数,1973年7月,全国,5311 男子用パンツ,47.5,
指数,1973年7月,全国,0096 婦人用下着類,28.9,
指数,1973年7月,全国,5351 婦人用ショーツ,42.6,
指数,1973年7月,全国,5361 ランジェリー,25.9,
指数,1973年7月,全国,0097 子供用下着類,45.3,
指数,1973年7月,全国,5372 子供用下着,47,
指数,1973年7月,全国,0098 履物類,35.9,
指数,1973年7月,全国,5601 男子靴,39.2,
指数,1973年7月,全国,5611 婦人靴,35.1,
指数,1973年7月,全国,5641 子供靴,36.4,
指数,1973年7月,全国,5631 運動靴,36.5,
指数,1973年7月,全国,5671 サンダル,32,
指数,1973年7月,全国,0103 他の被服,47.2,
指数,1973年7月,全国,5501 帽子,28,
指数,1973年7月,全国,5511 ネクタイ,65.7,
指数,1973年7月,全国,5521 男子用靴下,46.4,
指数,1973年7月,全国,5531 婦人用ストッキング,106.4,
指数,1973年7月,全国,5541 婦人用ソックス,54.8,
指数,1973年7月,全国,0106 被服関連サービス,32.3,
