指数,年月,地域,カテゴリ,数値,単位
指数,1979年9月,全国,0001 総合,68.7,
指数,1979年9月,全国,0002 食料,63.7,
指数,1979年9月,全国,0003 穀類,75.4,
指数,1979年9月,全国,0004 米類,95,
指数,1979年9月,全国,1001 うるち米Ａ,94.6,
指数,1979年9月,全国,1002 うるち米Ｂ,96.9,
指数,1979年9月,全国,0005 パン,59.5,
指数,1979年9月,全国,1021 食パン,63,
指数,1979年9月,全国,1022 あんパン,54.3,
指数,1979年9月,全国,0006 麺類,56.2,
指数,1979年9月,全国,1031 ゆでうどん,58.4,
指数,1979年9月,全国,1041 そうめん,47.7,
指数,1979年9月,全国,1051 カップ麺,55.5,
指数,1979年9月,全国,0007 他の穀類,72.6,
指数,1979年9月,全国,1071 小麦粉,60.3,
指数,1979年9月,全国,1081 もち,79.4,
指数,1979年9月,全国,0008 魚介類,62.5,
指数,1979年9月,全国,0009 生鮮魚介,68.2,
指数,1979年9月,全国,1101 まぐろ,76,
指数,1979年9月,全国,1102 あじ,120.4,
指数,1979年9月,全国,1103 いわし,33.3,
指数,1979年9月,全国,1104 かつお,57.9,
指数,1979年9月,全国,1106 さけ,80.1,
指数,1979年9月,全国,1107 さば,41.5,
指数,1979年9月,全国,1108 さんま,45.3,
指数,1979年9月,全国,1110 たい,103.3,
指数,1979年9月,全国,1111 ぶり,77.8,
指数,1979年9月,全国,1112 いか,55,
指数,1979年9月,全国,1113 たこ,52.7,
指数,1979年9月,全国,1114 えび,115.2,
指数,1979年9月,全国,1131 あさり,38.9,
指数,1979年9月,全国,0010 塩干魚介,63.5,
指数,1979年9月,全国,1141 塩さけ,76.7,
指数,1979年9月,全国,1142 たらこ,75.3,
指数,1979年9月,全国,1143 しらす干し,44.6,
指数,1979年9月,全国,1146 煮干し,52.1,
指数,1979年9月,全国,0011 魚肉練製品,50.5,
指数,1979年9月,全国,1151 揚げかまぼこ,47.7,
指数,1979年9月,全国,1152 ちくわ,53.6,
指数,1979年9月,全国,1153 かまぼこ,50.1,
指数,1979年9月,全国,0012 他の魚介加工品,46.2,
指数,1979年9月,全国,1161 かつお節,59.8,
指数,1979年9月,全国,0013 肉類,66.9,
指数,1979年9月,全国,0014 生鮮肉,63.8,
指数,1979年9月,全国,1201 牛肉（国産品）,50.3,
指数,1979年9月,全国,1211 豚肉（国産品）,63.1,
指数,1979年9月,全国,1221 鶏肉,77.8,
指数,1979年9月,全国,0015 加工肉,81.3,
指数,1979年9月,全国,1261 ソーセージ,77.3,
指数,1979年9月,全国,1271 ベーコン,70.6,
指数,1979年9月,全国,0016 乳卵類,86.6,
指数,1979年9月,全国,0017 牛乳・乳製品,83.8,
指数,1979年9月,全国,0018 牛乳,86.3,
指数,1979年9月,全国,1303 牛乳,103.2,
指数,1979年9月,全国,0019 乳製品,74.1,
指数,1979年9月,全国,1311 粉ミルク,50.1,
指数,1979年9月,全国,1321 バター,69,
指数,1979年9月,全国,1331 チーズ（国産品）,56.7,
指数,1979年9月,全国,0020 卵,92.4,
指数,1979年9月,全国,1341 鶏卵,92.4,
指数,1979年9月,全国,0021 野菜・海藻,51.5,
指数,1979年9月,全国,0022 生鮮野菜,51.6,
指数,1979年9月,全国,1401 キャベツ,44.5,
指数,1979年9月,全国,1402 ほうれんそう,72.8,
指数,1979年9月,全国,1403 はくさい,63.2,
指数,1979年9月,全国,1405 ねぎ,37.1,
指数,1979年9月,全国,1406 レタス,72.2,
指数,1979年9月,全国,1407 もやし,84.7,
指数,1979年9月,全国,1411 さつまいも,46.7,
指数,1979年9月,全国,1412 じゃがいも,41.2,
指数,1979年9月,全国,1413 さといも,46.7,
指数,1979年9月,全国,1414 だいこん,82.7,
指数,1979年9月,全国,1415 にんじん,57.4,
指数,1979年9月,全国,1416 ごぼう,42.2,
指数,1979年9月,全国,1417 たまねぎ,42.9,
指数,1979年9月,全国,1419 れんこん,47.8,
指数,1979年9月,全国,1433 かぼちゃ,52.4,
指数,1979年9月,全国,1434 きゅうり,40.3,
指数,1979年9月,全国,1435 なす,38.1,
指数,1979年9月,全国,1436 トマト,45.5,
指数,1979年9月,全国,1437 ピーマン,29.3,
指数,1979年9月,全国,1438 生しいたけ,78.5,
指数,1979年9月,全国,0023 乾物・加工品類,52.1,
指数,1979年9月,全国,0024 乾物・海藻,46,
指数,1979年9月,全国,1453 干ししいたけ,52.6,
指数,1979年9月,全国,1461 干しのり,70.4,
指数,1979年9月,全国,1462 わかめ,31,
指数,1979年9月,全国,1463 こんぶ,32.4,
指数,1979年9月,全国,0025 大豆加工品,62.3,
指数,1979年9月,全国,1471 豆腐,60.5,
指数,1979年9月,全国,1472 油揚げ,61.4,
指数,1979年9月,全国,1473 納豆,63.8,
指数,1979年9月,全国,0026 他の野菜・海藻加工品,47.5,
指数,1979年9月,全国,1481 こんにゃく,54.5,
指数,1979年9月,全国,1482 梅干し,31.9,
指数,1979年9月,全国,1483 だいこん漬,50,
指数,1979年9月,全国,1485 こんぶつくだ煮,43.7,
指数,1979年9月,全国,1491 野菜缶詰,85,
指数,1979年9月,全国,0027 果物,48.7,
指数,1979年9月,全国,0028 生鮮果物,47.7,
指数,1979年9月,全国,1511 みかん,142.2,
指数,1979年9月,全国,1521 梨,36.5,
指数,1979年9月,全国,1531 ぶどうＡ,44,
指数,1979年9月,全国,1532 ぶどうＢ,50.1,
指数,1979年9月,全国,1551 桃,38.6,
指数,1979年9月,全国,1561 すいか,39.8,
指数,1979年9月,全国,1581 バナナ,66.7,
指数,1979年9月,全国,0029 果物加工品,74.8,
指数,1979年9月,全国,0030 油脂・調味料,88.2,
指数,1979年9月,全国,0031 油脂,123.3,
指数,1979年9月,全国,1601 食用油,138.7,
指数,1979年9月,全国,1602 マーガリン,81.3,
指数,1979年9月,全国,0032 調味料,83.8,
指数,1979年9月,全国,1611 食塩,50.6,
指数,1979年9月,全国,1621 しょう油,84.1,
指数,1979年9月,全国,1631 みそ,81.7,
指数,1979年9月,全国,1632 砂糖,108.8,
指数,1979年9月,全国,1633 酢,86.8,
指数,1979年9月,全国,1641 ソース,97.7,
指数,1979年9月,全国,1642 ケチャップ,131.9,
指数,1979年9月,全国,1643 マヨネーズ,101,
指数,1979年9月,全国,1652 カレールウ,75.9,
指数,1979年9月,全国,1653 乾燥スープ,57.7,
指数,1979年9月,全国,0033 菓子類,59.8,
指数,1979年9月,全国,1701 ようかん,43,
指数,1979年9月,全国,1702 まんじゅう,53.4,
指数,1979年9月,全国,1711 カステラ,59.2,
指数,1979年9月,全国,1712 ケーキ,47.2,
指数,1979年9月,全国,1713 シュークリーム,68.2,
指数,1979年9月,全国,1741 せんべい,71.3,
指数,1979年9月,全国,1721 ビスケット,52.9,
指数,1979年9月,全国,1732 キャンデー,64.3,
指数,1979年9月,全国,1761 チョコレート,105,
指数,1979年9月,全国,1782 アイスクリーム,75.9,
指数,1979年9月,全国,1772 落花生,86.8,
指数,1979年9月,全国,1781 チューインガム,58.7,
指数,1979年9月,全国,0034 調理食品,60.3,
指数,1979年9月,全国,0036 他の調理食品,59.2,
指数,1979年9月,全国,1801 うなぎかば焼き,41.7,
指数,1979年9月,全国,1811 サラダ,43.1,
指数,1979年9月,全国,1821 コロッケ,54.2,
指数,1979年9月,全国,1831 豚カツ,65.5,
指数,1979年9月,全国,1851 冷凍調理コロッケ,69.6,
指数,1979年9月,全国,0037 飲料,93.6,
指数,1979年9月,全国,0038 茶類,87.1,
指数,1979年9月,全国,1902 緑茶,66.3,
指数,1979年9月,全国,1911 紅茶,114.2,
指数,1979年9月,全国,0039 コーヒー・ココア,111.1,
指数,1979年9月,全国,1921 インスタントコーヒー,104.2,
指数,1979年9月,全国,0040 他の飲料,91.8,
指数,1979年9月,全国,1931 果汁入り飲料,97.7,
指数,1979年9月,全国,1951 炭酸飲料,103.9,
指数,1979年9月,全国,1972 乳酸菌飲料,68.4,
指数,1979年9月,全国,0041 酒類,72,
