指数,年月,地域,カテゴリ,数値,単位
指数,1975年12月,全国,0001 総合,54.7,
指数,1975年12月,全国,0002 食料,53.2,
指数,1975年12月,全国,0003 穀類,62.1,
指数,1975年12月,全国,0004 米類,77,
指数,1975年12月,全国,1001 うるち米Ａ,79.6,
指数,1975年12月,全国,1002 うるち米Ｂ,80.6,
指数,1975年12月,全国,0005 パン,49.5,
指数,1975年12月,全国,1021 食パン,51.5,
指数,1975年12月,全国,1022 あんパン,48.2,
指数,1975年12月,全国,0006 麺類,48.6,
指数,1975年12月,全国,1031 ゆでうどん,48.6,
指数,1975年12月,全国,1041 そうめん,40.7,
指数,1975年12月,全国,1051 カップ麺,49.3,
指数,1975年12月,全国,0007 他の穀類,62.5,
指数,1975年12月,全国,1071 小麦粉,48.8,
指数,1975年12月,全国,1081 もち,70.5,
指数,1975年12月,全国,0008 魚介類,44.1,
指数,1975年12月,全国,0009 生鮮魚介,49.4,
指数,1975年12月,全国,1101 まぐろ,63.6,
指数,1975年12月,全国,1102 あじ,57.5,
指数,1975年12月,全国,1103 いわし,32.1,
指数,1975年12月,全国,1104 かつお,54.6,
指数,1975年12月,全国,1106 さけ,53.1,
指数,1975年12月,全国,1107 さば,27.7,
指数,1975年12月,全国,1108 さんま,33,
指数,1975年12月,全国,1110 たい,84.6,
指数,1975年12月,全国,1111 ぶり,73.7,
指数,1975年12月,全国,1112 いか,37.8,
指数,1975年12月,全国,1113 たこ,39.3,
指数,1975年12月,全国,1114 えび,82.6,
指数,1975年12月,全国,1131 あさり,21.4,
指数,1975年12月,全国,1132 かき（貝）,40.3,
指数,1975年12月,全国,0010 塩干魚介,39.5,
指数,1975年12月,全国,1141 塩さけ,52.4,
指数,1975年12月,全国,1142 たらこ,28.3,
指数,1975年12月,全国,1143 しらす干し,33.5,
指数,1975年12月,全国,1146 煮干し,40.7,
指数,1975年12月,全国,0011 魚肉練製品,36.9,
指数,1975年12月,全国,1151 揚げかまぼこ,32.5,
指数,1975年12月,全国,1152 ちくわ,36.2,
指数,1975年12月,全国,1153 かまぼこ,39.2,
指数,1975年12月,全国,0012 他の魚介加工品,38.5,
指数,1975年12月,全国,1161 かつお節,49.7,
指数,1975年12月,全国,0013 肉類,65.8,
指数,1975年12月,全国,0014 生鮮肉,63.6,
指数,1975年12月,全国,1201 牛肉（国産品）,43.6,
指数,1975年12月,全国,1211 豚肉（国産品）,66.1,
指数,1975年12月,全国,1221 鶏肉,80.8,
指数,1975年12月,全国,0015 加工肉,75.8,
指数,1975年12月,全国,1261 ソーセージ,71.9,
指数,1975年12月,全国,1271 ベーコン,70.4,
指数,1975年12月,全国,0016 乳卵類,79.5,
指数,1975年12月,全国,0017 牛乳・乳製品,72.8,
指数,1975年12月,全国,0018 牛乳,74.4,
指数,1975年12月,全国,1303 牛乳,91.8,
指数,1975年12月,全国,0019 乳製品,66.8,
指数,1975年12月,全国,1311 粉ミルク,40.7,
指数,1975年12月,全国,1321 バター,61.1,
指数,1975年12月,全国,1331 チーズ（国産品）,58.4,
指数,1975年12月,全国,0020 卵,94.3,
指数,1975年12月,全国,1341 鶏卵,94.3,
指数,1975年12月,全国,0021 野菜・海藻,42.1,
指数,1975年12月,全国,0022 生鮮野菜,41.6,
指数,1975年12月,全国,1401 キャベツ,74.9,
指数,1975年12月,全国,1402 ほうれんそう,27.8,
指数,1975年12月,全国,1403 はくさい,24.4,
指数,1975年12月,全国,1405 ねぎ,28.4,
指数,1975年12月,全国,1406 レタス,63.8,
指数,1975年12月,全国,1407 もやし,65.4,
指数,1975年12月,全国,1411 さつまいも,26.3,
指数,1975年12月,全国,1412 じゃがいも,30.9,
指数,1975年12月,全国,1413 さといも,29.4,
指数,1975年12月,全国,1414 だいこん,45.8,
指数,1975年12月,全国,1415 にんじん,47.9,
指数,1975年12月,全国,1416 ごぼう,40.2,
指数,1975年12月,全国,1417 たまねぎ,53.8,
指数,1975年12月,全国,1419 れんこん,38,
指数,1975年12月,全国,1433 かぼちゃ,49.7,
指数,1975年12月,全国,1434 きゅうり,62.8,
指数,1975年12月,全国,1435 なす,71.1,
指数,1975年12月,全国,1436 トマト,65.3,
指数,1975年12月,全国,1437 ピーマン,39.6,
指数,1975年12月,全国,1438 生しいたけ,75,
指数,1975年12月,全国,0023 乾物・加工品類,43.3,
指数,1975年12月,全国,0024 乾物・海藻,34.8,
指数,1975年12月,全国,1453 干ししいたけ,37,
