指数,年月,地域,カテゴリ,数値,単位
指数,1980年6月,全国,1633 酢,89.9,
指数,1980年6月,全国,1641 ソース,105.6,
指数,1980年6月,全国,1642 ケチャップ,146.7,
指数,1980年6月,全国,1643 マヨネーズ,100.5,
指数,1980年6月,全国,1652 カレールウ,76.6,
指数,1980年6月,全国,1653 乾燥スープ,57.8,
指数,1980年6月,全国,1654 風味調味料,91.9,
指数,1980年6月,全国,0033 菓子類,63,
指数,1980年6月,全国,1701 ようかん,46.5,
指数,1980年6月,全国,1702 まんじゅう,57.4,
指数,1980年6月,全国,1711 カステラ,63.6,
指数,1980年6月,全国,1712 ケーキ,49.9,
指数,1980年6月,全国,1713 シュークリーム,71.7,
指数,1980年6月,全国,1741 せんべい,76,
指数,1980年6月,全国,1721 ビスケット,58.2,
指数,1980年6月,全国,1783 ポテトチップス,66.8,
指数,1980年6月,全国,1732 キャンデー,65.7,
指数,1980年6月,全国,1761 チョコレート,104.8,
指数,1980年6月,全国,1782 アイスクリーム,75.8,
指数,1980年6月,全国,1772 落花生,90.8,
指数,1980年6月,全国,1781 チューインガム,60.3,
指数,1980年6月,全国,0034 調理食品,63.1,
指数,1980年6月,全国,0036 他の調理食品,61.9,
指数,1980年6月,全国,1801 うなぎかば焼き,42.5,
指数,1980年6月,全国,1811 サラダ,46.9,
指数,1980年6月,全国,1821 コロッケ,58.9,
指数,1980年6月,全国,1831 豚カツ,65,
指数,1980年6月,全国,1851 冷凍調理コロッケ,73.5,
指数,1980年6月,全国,0037 飲料,95.7,
指数,1980年6月,全国,0038 茶類,89.9,
指数,1980年6月,全国,1902 緑茶,68,
指数,1980年6月,全国,1911 紅茶,116.8,
指数,1980年6月,全国,0039 コーヒー・ココア,116,
指数,1980年6月,全国,1921 インスタントコーヒー,108.9,
指数,1980年6月,全国,0040 他の飲料,92.8,
指数,1980年6月,全国,1931 果汁入り飲料,98,
指数,1980年6月,全国,1941 野菜ジュース,80.6,
指数,1980年6月,全国,1951 炭酸飲料,115.5,
指数,1980年6月,全国,1972 乳酸菌飲料,68.4,
指数,1980年6月,全国,0041 酒類,79.7,
指数,1980年6月,全国,2003 清酒,88.9,
指数,1980年6月,全国,2011 焼酎,54.4,
指数,1980年6月,全国,2021 ビール,75.7,
指数,1980年6月,全国,2033 ウイスキー,97,
指数,1980年6月,全国,2041 ワイン（国産品）,107.5,
指数,1980年6月,全国,0042 外食,60.8,
指数,1980年6月,全国,0043 一般外食,60.5,
指数,1980年6月,全国,2101 うどん（外食）,49.2,
指数,1980年6月,全国,2102 中華そば（外食）,52.5,
指数,1980年6月,全国,2112 スパゲッティ（外食）,56.5,
指数,1980年6月,全国,2121 すし（外食）Ｂ,56.4,
指数,1980年6月,全国,2132 天丼（外食）,59.7,
指数,1980年6月,全国,2133 カレーライス（外食）,56.9,
指数,1980年6月,全国,2142 豚カツ定食（外食）,66.5,
指数,1980年6月,全国,2141 ハンバーグ（外食）,65.5,
指数,1980年6月,全国,2161 サンドイッチ（外食）,62.3,
指数,1980年6月,全国,2162 コーヒー（外食）Ａ,61.5,
指数,1980年6月,全国,2171 ビール（外食）,57.6,
指数,1980年6月,全国,0044 学校給食,65.6,
指数,1980年6月,全国,2182 学校給食（小学校）,64.6,
指数,1980年6月,全国,2183 学校給食（中学校）,67.8,
指数,1980年6月,全国,0045 住居,64.6,
指数,1980年6月,全国,0046 家賃,65.2,
指数,1980年6月,全国,0047 民営家賃,70.6,
指数,1980年6月,全国,3000 民営家賃,70.6,
指数,1980年6月,全国,0048 公営・都市再生機構・公社家賃,52.6,
指数,1980年6月,全国,3016 公営家賃,55.4,
指数,1980年6月,全国,3017 都市再生機構・公社家賃,49.3,
指数,1980年6月,全国,0050 持家の帰属家賃,64.9,
指数,1980年6月,全国,3030 持家の帰属家賃,64.9,
指数,1980年6月,全国,0051 設備修繕・維持,59.4,
指数,1980年6月,全国,0052 設備材料,92.9,
指数,1980年6月,全国,3101 システムバス,82.3,
指数,1980年6月,全国,3121 修繕材料,55,
指数,1980年6月,全国,0053 工事その他のサービス,53.1,
指数,1980年6月,全国,3151 畳替え代,53.2,
指数,1980年6月,全国,3176 水道工事費,32.6,
指数,1980年6月,全国,3175 塀工事費,50.8,
指数,1980年6月,全国,3174 植木職手間代,44.4,
指数,1980年6月,全国,3171 ふすま張替費,51.6,
指数,1980年6月,全国,3172 大工手間代,53.5,
指数,1980年6月,全国,3180 火災・地震保険料,72.3,
指数,1980年6月,全国,0054 光熱・水道,84.1,
指数,1980年6月,全国,0056 電気代,110.4,
指数,1980年6月,全国,3500 電気代,110.4,
指数,1980年6月,全国,0057 ガス代,79.5,
指数,1980年6月,全国,3600 都市ガス代,98.2,
指数,1980年6月,全国,3612 プロパンガス,60.4,
指数,1980年6月,全国,0058 他の光熱,87.4,
指数,1980年6月,全国,3701 灯油,90.6,
指数,1980年6月,全国,3810 水道料,46.2,
指数,1980年6月,全国,0060 家具・家事用品,141.1,
指数,1980年6月,全国,0061 家庭用耐久財,369.7,
指数,1980年6月,全国,0062 家事用耐久財,916.5,
指数,1980年6月,全国,4003 電子レンジ,1770.3,
指数,1980年6月,全国,4002 電気炊飯器,418,
指数,1980年6月,全国,4011 ガステーブル,169.4,
指数,1980年6月,全国,4021 電気冷蔵庫,2820.1,
指数,1980年6月,全国,4032 電気掃除機,871.4,
指数,1980年6月,全国,4042 電気洗濯機（全自動洗濯機）,1325.6,
指数,1980年6月,全国,0063 冷暖房用器具,326.5,
指数,1980年6月,全国,0064 一般家具,81.5,
指数,1980年6月,全国,4092 食堂セット,71.5,
指数,1980年6月,全国,0066 室内装備品,133.2,
指数,1980年6月,全国,4121 カーペット,130.3,
指数,1980年6月,全国,4141 カーテン,91.6,
指数,1980年6月,全国,0070 寝具類,111.1,
指数,1980年6月,全国,4201 ベッド,87.7,
指数,1980年6月,全国,4211 布団,130.2,
指数,1980年6月,全国,4251 敷布,77.2,
指数,1980年6月,全国,4271 布団カバー,104.6,
指数,1980年6月,全国,0073 家事雑貨,67.1,
指数,1980年6月,全国,0074 食器類,49.5,
指数,1980年6月,全国,4301 茶わん,45.6,
指数,1980年6月,全国,4302 皿,50.1,
指数,1980年6月,全国,0075 台所用品,70.1,
指数,1980年6月,全国,4331 鍋,69.8,
指数,1980年6月,全国,4342 スポンジたわし,60.4,
指数,1980年6月,全国,0076 他の家事雑貨,82.1,
指数,1980年6月,全国,4352 電球・ランプ,84.3,
指数,1980年6月,全国,4361 タオル,69,
指数,1980年6月,全国,0077 家事用消耗品,128.2,
指数,1980年6月,全国,0078 ティシュ・トイレットペーパー,122.1,
指数,1980年6月,全国,4412 ティシュペーパー,139.2,
指数,1980年6月,全国,4413 トイレットペーパー,115.8,
指数,1980年6月,全国,0079 洗剤,165,
指数,1980年6月,全国,4431 台所用洗剤,160.5,
指数,1980年6月,全国,4441 洗濯用洗剤,176.5,
指数,1980年6月,全国,0080 他の家事用消耗品,102.6,
指数,1980年6月,全国,4401 ラップ,111.3,
指数,1980年6月,全国,4451 殺虫剤,83.2,
指数,1980年6月,全国,0081 家事サービス,53.7,
指数,1980年6月,全国,0174 家事代行料,52.4,
指数,1980年6月,全国,4501 家事代行料,52.4,
指数,1980年6月,全国,0175 清掃代,50.9,
指数,1980年6月,全国,0082 被服及び履物,69.4,
指数,1980年6月,全国,0083 衣料,70.6,
指数,1980年6月,全国,0084 和服,70.3,
指数,1980年6月,全国,5011 婦人用着物,77,
指数,1980年6月,全国,5041 婦人用帯,56.7,
指数,1980年6月,全国,0085 洋服,71,
指数,1980年6月,全国,0086 男子用洋服,70.8,
指数,1980年6月,全国,5101 背広服（春夏物，中級品）,72.2,
指数,1980年6月,全国,5122 男子用ズボン（春夏物）,65.1,
指数,1980年6月,全国,5123 男子用ズボン（ジーンズ）,54.9,
指数,1980年6月,全国,5141 男子用学校制服,55,
指数,1980年6月,全国,0087 婦人用洋服,60.8,
指数,1980年6月,全国,5161 ワンピース（春夏物）,61.1,
指数,1980年6月,全国,0088 子供用洋服,144.2,
指数,1980年6月,全国,5193 乳児服,72.4,
指数,1980年6月,全国,0089 シャツ・セーター・下着類,68.8,
指数,1980年6月,全国,0090 シャツ・セーター類,72,
指数,1980年6月,全国,0091 男子用シャツ・セーター類,71.4,
指数,1980年6月,全国,5202 ワイシャツ,80.6,
指数,1980年6月,全国,0092 婦人用シャツ・セーター類,71.4,
指数,1980年6月,全国,5242 婦人用セーター（半袖）,78.1,
指数,1980年6月,全国,0094 下着類,61.1,
指数,1980年6月,全国,0095 男子用下着類,73.2,
指数,1980年6月,全国,5301 男子用シャツ（半袖）,76.2,
指数,1980年6月,全国,5311 男子用パンツ,64.5,
指数,1980年6月,全国,0096 婦人用下着類,49.1,
指数,1980年6月,全国,5341 ブラジャー,52.2,
指数,1980年6月,全国,5351 婦人用ショーツ,59.1,
指数,1980年6月,全国,5361 ランジェリー,48.9,
指数,1980年6月,全国,0097 子供用下着類,70.7,
指数,1980年6月,全国,5372 子供用下着,70.7,
指数,1980年6月,全国,0098 履物類,67.9,
指数,1980年6月,全国,5601 男子靴,69.3,
指数,1980年6月,全国,5611 婦人靴,70.7,
指数,1980年6月,全国,5641 子供靴,68.5,
指数,1980年6月,全国,5631 運動靴,67.8,
指数,1980年6月,全国,5671 サンダル,62,
指数,1980年6月,全国,0103 他の被服,76.4,
指数,1980年6月,全国,5501 帽子,62.9,
指数,1980年6月,全国,5511 ネクタイ,111.6,
指数,1980年6月,全国,5521 男子用靴下,67.8,
指数,1980年6月,全国,5531 婦人用ストッキング,100.7,
指数,1980年6月,全国,5541 婦人用ソックス,81.6,
指数,1980年6月,全国,0106 被服関連サービス,61.1,
指数,1980年6月,全国,5711 クリーニング代Ａ,62.9,
指数,1980年6月,全国,5712 クリーニング代Ｂ,60.9,
指数,1980年6月,全国,5721 履物修理代,53.3,
指数,1980年6月,全国,0107 保健医療,65.3,
指数,1980年6月,全国,0108 医薬品・健康保持用摂取品,79.7,
指数,1980年6月,全国,6001 総合かぜ薬,55.9,
指数,1980年6月,全国,6002 解熱鎮痛剤,72.1,
指数,1980年6月,全国,6012 胃腸薬,111.4,
指数,1980年6月,全国,6021 ビタミン剤Ａ,78.4,
指数,1980年6月,全国,6022 ビタミン剤Ｂ,132.7,
指数,1980年6月,全国,6031 ドリンク剤,82.6,
指数,1980年6月,全国,6051 皮膚病薬,72.3,
指数,1980年6月,全国,6061 はり薬,67.2,
指数,1980年6月,全国,0109 保健医療用品・器具,111.1,
指数,1980年6月,全国,6101 生理用ナプキン,124.1,
指数,1980年6月,全国,6121 眼鏡,85.1,
指数,1980年6月,全国,0110 保健医療サービス,47.3,
指数,1980年6月,全国,6200 診療代,52.1,
指数,1980年6月,全国,0111 交通・通信,91,
指数,1980年6月,全国,0112 交通,55.6,
指数,1980年6月,全国,0179 鉄道運賃（ＪＲ）,65.5,
指数,1980年6月,全国,7527 普通運賃（ＪＲ）,63.6,
指数,1980年6月,全国,7528 料金（ＪＲ，在来線）,73,
指数,1980年6月,全国,7530 料金（ＪＲ，新幹線）,73.8,
指数,1980年6月,全国,7029 通学定期（ＪＲ）,48.7,
指数,1980年6月,全国,7030 通勤定期（ＪＲ）,64.6,
指数,1980年6月,全国,0180 鉄道運賃（ＪＲ以外）,48.4,
指数,1980年6月,全国,7008 普通運賃（ＪＲ以外）,49.9,
指数,1980年6月,全国,7009 通学定期（ＪＲ以外）,46.4,
指数,1980年6月,全国,7010 通勤定期（ＪＲ以外）,46,
指数,1980年6月,全国,7050 一般路線バス代,47.5,
指数,1980年6月,全国,7060 タクシー代,47.7,
指数,1980年6月,全国,7070 航空運賃,83.8,
指数,1980年6月,全国,0182 有料道路料,49.6,
指数,1980年6月,全国,0113 自動車等関係費,94.9,
指数,1980年6月,全国,0114 自動車,89.9,
指数,1980年6月,全国,7105 軽乗用車,97.7,
指数,1980年6月,全国,7106 小型乗用車,86.4,
指数,1980年6月,全国,0115 自転車,87.6,
指数,1980年6月,全国,7201 自転車Ａ,84.6,
指数,1980年6月,全国,0116 自動車等維持,97.4,
指数,1980年6月,全国,7301 ガソリン,115.3,
指数,1980年6月,全国,7311 自動車タイヤ,90.2,
指数,1980年6月,全国,7331 自動車整備費（定期点検）,91.8,
指数,1980年6月,全国,7335 自動車整備費（パンク修理）,42.6,
指数,1980年6月,全国,7341 自動車オイル交換料,66.8,
指数,1980年6月,全国,7351 自動車免許手数料,59.2,
指数,1980年6月,全国,7370 自動車保険料（自賠責）,125.1,
指数,1980年6月,全国,0117 通信,170.7,
指数,1980年6月,全国,7401 はがき,31.7,
指数,1980年6月,全国,7402 封書,59.5,
指数,1980年6月,全国,7410 通信料（固定電話）,158.3,
指数,1980年6月,全国,0118 教育,52.9,
指数,1980年6月,全国,0119 授業料等,57.1,
指数,1980年6月,全国,8001 ＰＴＡ会費（小学校）,47.8,
指数,1980年6月,全国,8002 ＰＴＡ会費（中学校）,53.7,
指数,1980年6月,全国,8010 中学校授業料（私立）,48.5,
指数,1980年6月,全国,8020 高等学校授業料（公立）,174.5,
指数,1980年6月,全国,8030 高等学校授業料（私立）,57.9,
指数,1980年6月,全国,8040 大学授業料（国立）,28,
指数,1980年6月,全国,8060 大学授業料（私立）,36.2,
指数,1980年6月,全国,0120 教科書・学習参考教材,54.1,
指数,1980年6月,全国,8100 学習参考教材,51.3,
指数,1980年6月,全国,0121 補習教育,43.8,
指数,1980年6月,全国,8201 補習教育（中学校）,45.9,
指数,1980年6月,全国,0122 教養娯楽,86.8,
指数,1980年6月,全国,0123 教養娯楽用耐久財,2462.1,
指数,1980年6月,全国,9043 カメラ,4262.4,
指数,1980年6月,全国,9051 ピアノ,59.4,
指数,1980年6月,全国,9061 学習用机,71,
指数,1980年6月,全国,0128 教養娯楽用品,79.9,
指数,1980年6月,全国,0129 文房具,64.6,
指数,1980年6月,全国,9111 ボールペン,73.7,
指数,1980年6月,全国,9121 ノートブック,53.1,
指数,1980年6月,全国,0130 運動用具類,87.7,
指数,1980年6月,全国,9142 ゴルフクラブ,147.8,
指数,1980年6月,全国,9141 グローブ,49.1,
指数,1980年6月,全国,9143 テニスラケット,82.1,
指数,1980年6月,全国,9145 トレーニングパンツ,104.9,
指数,1980年6月,全国,0131 玩具,132.6,
指数,1980年6月,全国,9151 人形,87.6,
指数,1980年6月,全国,9152 玩具自動車,65.1,
指数,1980年6月,全国,9153 組立玩具,84.8,
指数,1980年6月,全国,0132 切り花,49.5,
指数,1980年6月,全国,9181 切り花（カーネーション）,48.4,
指数,1980年6月,全国,9182 切り花（きく）,53.5,
指数,1980年6月,全国,0133 他の教養娯楽用品,90.4,
指数,1980年6月,全国,0134 書籍・他の印刷物,52.5,
指数,1980年6月,全国,0135 新聞代,57.8,
指数,1980年6月,全国,0136 雑誌,53.8,
指数,1980年6月,全国,9230 週刊誌,44.6,
指数,1980年6月,全国,0137 書籍,41.6,
指数,1980年6月,全国,9261 単行本Ａ,36.2,
指数,1980年6月,全国,9263 単行本Ｂ,42.8,
指数,1980年6月,全国,0138 教養娯楽サービス,60.5,
指数,1980年6月,全国,0139 宿泊料,65.2,
指数,1980年6月,全国,9300 宿泊料,65.2,
指数,1980年6月,全国,0140 月謝類,48.5,
指数,1980年6月,全国,9313 講習料（水泳）,53.3,
指数,1980年6月,全国,9320 自動車教習料,47.4,
指数,1980年6月,全国,0141 他の教養娯楽サービス,69.2,
指数,1980年6月,全国,0142 放送受信料,65,
指数,1980年6月,全国,9330 放送受信料（ＮＨＫ）,67.3,
指数,1980年6月,全国,0143 入場・観覧・ゲーム代,64,
指数,1980年6月,全国,9341 映画観覧料,73.2,
指数,1980年6月,全国,9350 プロ野球観覧料,36.5,
指数,1980年6月,全国,9361 ボウリングゲーム代,55.9,
指数,1980年6月,全国,0144 他の娯楽サービス,141.5,
指数,1980年6月,全国,0145 諸雑費,66.8,
指数,1980年6月,全国,0146 理美容サービス,61.7,
指数,1980年6月,全国,9511 理髪料,60.1,
指数,1980年6月,全国,9521 パーマネント代,66.2,
指数,1980年6月,全国,9531 カット代,58.3,
指数,1980年6月,全国,0147 理美容用品,93.8,
指数,1980年6月,全国,0148 理容器具,197.8,
指数,1980年6月,全国,9611 歯ブラシ,111.5,
指数,1980年6月,全国,0149 石けん類,104.2,
指数,1980年6月,全国,9621 手洗い用石けん,101.1,
指数,1980年6月,全国,9622 シャンプー,91.2,
指数,1980年6月,全国,9623 歯磨き,130.5,
指数,1980年6月,全国,0150 化粧品,85.9,
指数,1980年6月,全国,9631 整髪料,85.9,
指数,1980年6月,全国,9641 養毛剤,80.8,
指数,1980年6月,全国,9650 化粧クリームＡ,83.9,
指数,1980年6月,全国,9661 化粧水Ｂ,89.7,
指数,1980年6月,全国,9690 乳液Ａ,79.8,
指数,1980年6月,全国,9670 ファンデーションＡ,77.1,
指数,1980年6月,全国,9680 口紅Ａ,70,
指数,1980年6月,全国,0151 身の回り用品,61.4,
指数,1980年6月,全国,0152 かばん類,50,
指数,1980年6月,全国,9721 バッグＡ,92.5,
指数,1980年6月,全国,9711 通学用かばん,36.8,
指数,1980年6月,全国,9731 旅行用かばん,103.6,
指数,1980年6月,全国,0153 腕時計・指輪,82.6,
指数,1980年6月,全国,9741 指輪,63.3,
指数,1980年6月,全国,9751 腕時計,108.5,
指数,1980年6月,全国,0154 他の身の回り用品,71.9,
指数,1980年6月,全国,9701 傘,90.4,
指数,1980年6月,全国,9761 ハンカチーフ,50.5,
指数,1980年6月,全国,0155 たばこ,36.6,
指数,1980年6月,全国,9799 たばこ（国産品）,35.6,
指数,1980年6月,全国,0156 他の諸雑費,39.1,
指数,1980年6月,全国,9901 行政証明書手数料,33.8,
指数,1980年6月,全国,0157 生鮮食品,58.3,
指数,1980年6月,全国,0158 生鮮魚介（再掲）,68.3,
指数,1980年6月,全国,0159 生鮮野菜（再掲）,52.9,
指数,1980年6月,全国,0160 生鮮果物（再掲）,52.6,
指数,1980年6月,全国,0161 生鮮食品を除く総合,74.2,
指数,1980年6月,全国,0172 生鮮食品を除く食料,68.4,
指数,1980年6月,全国,0163 持家の帰属家賃を除く総合,74.3,
指数,1980年6月,全国,0164 持家の帰属家賃を除く住居,62.7,
指数,1980年6月,全国,0165 持家の帰属家賃を除く家賃,66.4,
指数,1980年6月,全国,0166 持家の帰属家賃及び生鮮食品を除く総合,75.3,
指数,1980年6月,全国,0167 エネルギー,101.6,
指数,1980年6月,全国,0178 生鮮食品及びエネルギーを除く総合,72.7,
指数,1980年6月,全国,0168 食料（酒類を除く）及びエネルギーを除く総合,73.9,
指数,1980年6月,全国,0162 教育関係費,54.9,
指数,1980年6月,全国,0173 教養娯楽関係費,83.3,
指数,1980年6月,全国,0201 総合,73.5,
指数,1980年6月,全国,0202 財,82.2,
指数,1980年6月,全国,0241 生鮮食品を除く財,85.2,
指数,1980年6月,全国,0203 農水畜産物,64.2,
指数,1980年6月,全国,0204 生鮮商品,60.6,
指数,1980年6月,全国,0205 他の農水畜産物,95.1,
指数,1980年6月,全国,0206 米類,97.2,
指数,1980年6月,全国,0207 工業製品,88.6,
指数,1980年6月,全国,0208 食料工業製品,70.3,
指数,1980年6月,全国,0211 繊維製品,73.9,
指数,1980年6月,全国,0214 石油製品,99.2,
指数,1980年6月,全国,0215 他の工業製品,121.3,
指数,1980年6月,全国,0218 電気・都市ガス・水道,90.1,
指数,1980年6月,全国,0219 出版物,52.8,
指数,1980年6月,全国,0220 サービス,63.3,
指数,1980年6月,全国,0242 持家の帰属家賃を除くサービス,62.6,
指数,1980年6月,全国,0221 公共サービス,67.9,
指数,1980年6月,全国,0222 公営・都市再生機構・公社家賃,52.6,
指数,1980年6月,全国,0223 家事関連サービス,62.7,
指数,1980年6月,全国,0224 医療・福祉関連サービス,60.3,
指数,1980年6月,全国,0225 運輸・通信関連サービス,78.6,
指数,1980年6月,全国,0226 教育関連サービス,247.1,
指数,1980年6月,全国,0227 教養娯楽関連サービス,64,
指数,1980年6月,全国,0228 一般サービス,61.9,
指数,1980年6月,全国,0229 外食,60.5,
指数,1980年6月,全国,0230 民営家賃,70.6,
指数,1980年6月,全国,0231 持家の帰属家賃,64.9,
指数,1980年6月,全国,0232 他のサービス,57.2,
指数,1980年6月,全国,0233 家事関連サービス,60.4,
指数,1980年6月,全国,0234 医療・福祉関連サービス,32.5,
指数,1980年6月,全国,0235 教育関連サービス,45,
指数,1980年6月,全国,0236 通信・教養娯楽関連サービス,69.3,
指数,1980年6月,全国,0237 耐久消費財,240.5,
指数,1980年6月,全国,0238 半耐久消費財,72.5,
指数,1980年6月,全国,0239 非耐久消費財,73.5,
指数,1980年6月,全国,0240 公共料金,72.2,
前月比・前年比・前年度比,1980年6月,全国,0001 総合,0.4,%
前月比・前年比・前年度比,1980年6月,全国,0002 食料,0.0,%
前月比・前年比・前年度比,1980年6月,全国,0003 穀類,0.3,%
前月比・前年比・前年度比,1980年6月,全国,0004 米類,0.1,%
前月比・前年比・前年度比,1980年6月,全国,1001 うるち米Ａ,0.2,%
前月比・前年比・前年度比,1980年6月,全国,1002 うるち米Ｂ,0.2,%
前月比・前年比・前年度比,1980年6月,全国,0005 パン,0.2,%
前月比・前年比・前年度比,1980年6月,全国,1021 食パン,0.2,%
前月比・前年比・前年度比,1980年6月,全国,1022 あんパン,0.2,%
前月比・前年比・前年度比,1980年6月,全国,0006 麺類,1.3,%
前月比・前年比・前年度比,1980年6月,全国,1031 ゆでうどん,-0.3,%
前月比・前年比・前年度比,1980年6月,全国,1041 そうめん,1.2,%
