指数,年月,地域,カテゴリ,数値,単位
指数,1988年2月,全国,0001 総合,84.2,
指数,1988年2月,全国,0002 食料,76.1,
指数,1988年2月,全国,0003 穀類,93.8,
指数,1988年2月,全国,0004 米類,113.3,
指数,1988年2月,全国,1001 うるち米Ａ,114,
指数,1988年2月,全国,1002 うるち米Ｂ,115.1,
指数,1988年2月,全国,0005 パン,80.1,
指数,1988年2月,全国,1021 食パン,82.1,
指数,1988年2月,全国,1022 あんパン,78.8,
指数,1988年2月,全国,0006 麺類,77.3,
指数,1988年2月,全国,1031 ゆでうどん,79.4,
指数,1988年2月,全国,1041 そうめん,69.7,
指数,1988年2月,全国,1042 スパゲッティ,81.4,
指数,1988年2月,全国,1051 カップ麺,73.5,
指数,1988年2月,全国,1052 中華麺,87.5,
指数,1988年2月,全国,0007 他の穀類,91.9,
指数,1988年2月,全国,1071 小麦粉,78.1,
指数,1988年2月,全国,1081 もち,99.7,
指数,1988年2月,全国,0008 魚介類,70.8,
指数,1988年2月,全国,0009 生鮮魚介,76.5,
指数,1988年2月,全国,1101 まぐろ,87.3,
指数,1988年2月,全国,1102 あじ,124.1,
指数,1988年2月,全国,1103 いわし,44.4,
指数,1988年2月,全国,1106 さけ,70,
指数,1988年2月,全国,1107 さば,65.1,
指数,1988年2月,全国,1108 さんま,61.9,
指数,1988年2月,全国,1110 たい,102.3,
指数,1988年2月,全国,1111 ぶり,80.4,
指数,1988年2月,全国,1112 いか,65.8,
指数,1988年2月,全国,1113 たこ,58.5,
指数,1988年2月,全国,1114 えび,102.9,
指数,1988年2月,全国,1131 あさり,58.8,
指数,1988年2月,全国,1132 かき（貝）,40.3,
指数,1988年2月,全国,1133 ほたて貝,79.5,
指数,1988年2月,全国,0010 塩干魚介,65.5,
指数,1988年2月,全国,1141 塩さけ,74.2,
指数,1988年2月,全国,1142 たらこ,65.5,
指数,1988年2月,全国,1143 しらす干し,55.7,
指数,1988年2月,全国,1144 干しあじ,79.2,
指数,1988年2月,全国,1146 煮干し,69.7,
指数,1988年2月,全国,0011 魚肉練製品,66.6,
指数,1988年2月,全国,1151 揚げかまぼこ,64.6,
指数,1988年2月,全国,1152 ちくわ,70.2,
指数,1988年2月,全国,1153 かまぼこ,66.1,
指数,1988年2月,全国,0012 他の魚介加工品,59.9,
指数,1988年2月,全国,1161 かつお節,71.6,
指数,1988年2月,全国,1173 魚介缶詰,61.7,
指数,1988年2月,全国,0013 肉類,70.1,
指数,1988年2月,全国,0014 生鮮肉,65.7,
指数,1988年2月,全国,1201 牛肉（国産品）,58.9,
指数,1988年2月,全国,1203 牛肉（輸入品）,65.2,
指数,1988年2月,全国,1211 豚肉（国産品）,65.3,
指数,1988年2月,全国,1221 鶏肉,74.5,
指数,1988年2月,全国,0015 加工肉,91.4,
指数,1988年2月,全国,1252 ハム,102.2,
指数,1988年2月,全国,1261 ソーセージ,88.9,
指数,1988年2月,全国,1271 ベーコン,76.2,
指数,1988年2月,全国,0016 乳卵類,79.9,
指数,1988年2月,全国,0017 牛乳・乳製品,85.5,
指数,1988年2月,全国,0018 牛乳,83.7,
指数,1988年2月,全国,1303 牛乳,96.1,
指数,1988年2月,全国,0019 乳製品,88.6,
指数,1988年2月,全国,1311 粉ミルク,69.8,
指数,1988年2月,全国,1333 ヨーグルト,113.4,
指数,1988年2月,全国,1321 バター,73.1,
指数,1988年2月,全国,1331 チーズ（国産品）,65.9,
指数,1988年2月,全国,0020 卵,64.7,
指数,1988年2月,全国,1341 鶏卵,64.7,
指数,1988年2月,全国,0021 野菜・海藻,67.9,
指数,1988年2月,全国,0022 生鮮野菜,68.5,
指数,1988年2月,全国,1401 キャベツ,70,
指数,1988年2月,全国,1402 ほうれんそう,36,
指数,1988年2月,全国,1403 はくさい,51.1,
指数,1988年2月,全国,1405 ねぎ,52.7,
指数,1988年2月,全国,1406 レタス,96.9,
指数,1988年2月,全国,1407 もやし,88.9,
指数,1988年2月,全国,1411 さつまいも,53.8,
指数,1988年2月,全国,1412 じゃがいも,50,
指数,1988年2月,全国,1413 さといも,38.3,
指数,1988年2月,全国,1414 だいこん,63.5,
指数,1988年2月,全国,1415 にんじん,52.1,
指数,1988年2月,全国,1416 ごぼう,58.9,
指数,1988年2月,全国,1417 たまねぎ,71.7,
指数,1988年2月,全国,1419 れんこん,59,
指数,1988年2月,全国,1420 ながいも,85.4,
指数,1988年2月,全国,1432 さやいんげん,79,
指数,1988年2月,全国,1433 かぼちゃ,69.5,
指数,1988年2月,全国,1434 きゅうり,96.1,
指数,1988年2月,全国,1435 なす,86.3,
指数,1988年2月,全国,1436 トマト,81.1,
指数,1988年2月,全国,1437 ピーマン,89.6,
指数,1988年2月,全国,1438 生しいたけ,106.9,
指数,1988年2月,全国,0023 乾物・加工品類,67.7,
指数,1988年2月,全国,0024 乾物・海藻,54.3,
指数,1988年2月,全国,1453 干ししいたけ,63.3,
指数,1988年2月,全国,1461 干しのり,77.3,
指数,1988年2月,全国,1462 わかめ,41.4,
指数,1988年2月,全国,1463 こんぶ,42.9,
指数,1988年2月,全国,0025 大豆加工品,81.3,
指数,1988年2月,全国,1471 豆腐,78.3,
指数,1988年2月,全国,1472 油揚げ,80.3,
指数,1988年2月,全国,1473 納豆,84.5,
指数,1988年2月,全国,0026 他の野菜・海藻加工品,66.4,
指数,1988年2月,全国,1481 こんにゃく,94.1,
指数,1988年2月,全国,1482 梅干し,54.1,
指数,1988年2月,全国,1483 だいこん漬,59.7,
指数,1988年2月,全国,1485 こんぶつくだ煮,60.7,
指数,1988年2月,全国,1491 野菜缶詰,96.9,
指数,1988年2月,全国,0027 果物,51,
指数,1988年2月,全国,0028 生鮮果物,49.8,
指数,1988年2月,全国,1502 りんご,66.5,
指数,1988年2月,全国,1511 みかん,33.8,
指数,1988年2月,全国,1515 オレンジ,97.7,
指数,1988年2月,全国,1571 いちご,59.3,
指数,1988年2月,全国,1581 バナナ,68.6,
指数,1988年2月,全国,0029 果物加工品,85.7,
指数,1988年2月,全国,0030 油脂・調味料,99.3,
指数,1988年2月,全国,0031 油脂,118.3,
指数,1988年2月,全国,1601 食用油,131.6,
指数,1988年2月,全国,1602 マーガリン,80.7,
指数,1988年2月,全国,0032 調味料,97.3,
指数,1988年2月,全国,1611 食塩,63.2,
指数,1988年2月,全国,1621 しょう油,95.5,
指数,1988年2月,全国,1631 みそ,97.3,
指数,1988年2月,全国,1632 砂糖,117.8,
指数,1988年2月,全国,1633 酢,93.1,
指数,1988年2月,全国,1641 ソース,107.5,
指数,1988年2月,全国,1642 ケチャップ,149.1,
